altura,latitud,longitud
9895,-72.5442162278,39.3972610926
9894,-72.5488913544,39.3900306892
9893,-72.5535653063,39.3828009452
9892,-72.5582380837,39.3755718605
9891,-72.5629096868,39.3683434352
9890,-72.5675801159,39.3611156692
9889,-72.5722493712,39.3538885626
9888,-72.576917453,39.3466621153
9887,-72.5815843614,39.3394363273
9886,-72.5862500968,39.3322111987
9885,-72.5909146593,39.3249867294
9884,-72.5955780493,39.3177629193
9883,-72.6002402669,39.3105397686
9882,-72.6049013123,39.3033172772
9881,-72.6095611859,39.2960954451
9880,-72.6142198878,39.2888742722
9879,-72.6188774183,39.2816537587
9878,-72.6235337776,39.2744339044
9877,-72.628188966,39.2672147094
9876,-72.6328429837,39.2599961736
9875,-72.637495831,39.2527782971
9874,-72.642147508,39.2455610799
9873,-72.646798015,39.2383445218
9872,-72.6514473522,39.2311286231
9871,-72.65609552,39.2239133835
9870,-72.6607425184,39.2166988032
9869,-72.6653883479,39.2094848821
9868,-72.6700330085,39.2022716203
9867,-72.6746765005,39.1950590176
9866,-72.6793188242,39.1878470741
9865,-72.6839599798,39.1806357899
9864,-72.6885999676,39.1734251648
9863,-72.6932387877,39.1662151989
9862,-72.6978764405,39.1590058922
9861,-72.7025129261,39.1517972446
9860,-72.7071482448,39.1445892562
9859,-72.7117823968,39.137381927
9858,-72.7164153824,39.1301752569
9857,-72.7210472017,39.122969246
9856,-72.7256778551,39.1157638942
9855,-72.7303073428,39.1085592016
9854,-72.734935665,39.1013551681
9853,-72.7395628219,39.0941517937
9852,-72.7441888138,39.0869490784
9851,-72.748813641,39.0797470223
9850,-72.7534373036,39.0725456252
9849,-72.7580598018,39.0653448873
9848,-72.762681136,39.0581448084
9847,-72.7673013064,39.0509453886
9846,-72.7719203132,39.043746628
9845,-72.7765381566,39.0365485264
9844,-72.7811548368,39.0293510838
9843,-72.7857703542,39.0221543003
9842,-72.7903847089,39.0149581759
9841,-72.7949979012,39.0077627105
9840,-72.7996099313,39.0005679042
9839,-72.8042207995,38.9933737569
9838,-72.808830506,38.9861802687
9837,-72.813439051,38.9789874395
9836,-72.8180464347,38.9717952693
9835,-72.8226526574,38.9646037581
9834,-72.8272577194,38.9574129059
9833,-72.8318616209,38.9502227128
9832,-72.836464362,38.9430331786
9831,-72.8410659431,38.9358443034
9830,-72.8456663644,38.9286560872
9829,-72.8502656261,38.92146853
9828,-72.8548637284,38.9142816318
9827,-72.8594606716,38.9070953925
9826,-72.864056456,38.8999098122
9825,-72.8686510817,38.8927248908
9824,-72.8732445489,38.8855406284
9823,-72.8778368581,38.878357025
9822,-72.8824280092,38.8711740805
9821,-72.8870180027,38.8639917949
9820,-72.8916068387,38.8568101682
9819,-72.8961945175,38.8496292005
9818,-72.9007810393,38.8424488917
9817,-72.9053664043,38.8352692417
9816,-72.9099506129,38.8280902507
9815,-72.9145336651,38.8209119186
9814,-72.9191155613,38.8137342454
9813,-72.9236963016,38.806557231
9812,-72.9282758864,38.7993808755
9811,-72.9328543159,38.792205179
9810,-72.9374315902,38.7850301412
9809,-72.9420077096,38.7778557624
9808,-72.9465826745,38.7706820423
9807,-72.9511564849,38.7635089812
9806,-72.9557291411,38.7563365788
9805,-72.9603006434,38.7491648353
9804,-72.9648709921,38.7419937507
9803,-72.9694401872,38.7348233248
9802,-72.9740082292,38.7276535578
9801,-72.9785751181,38.7204844496
9800,-72.9831408543,38.7133160002
9799,-72.987705438,38.7061482096
9798,-72.9922688694,38.6989810778
9797,-72.9968311487,38.6918146048
9796,-73.0013922762,38.6846487906
9795,-73.0059522521,38.6774836351
9794,-73.0105110767,38.6703191384
9793,-73.0150687502,38.6631553005
9792,-73.0196252728,38.6559921213
9791,-73.0241806448,38.6488296009
9790,-73.0287348664,38.6416677392
9789,-73.0332879378,38.6345065363
9788,-73.0378398593,38.6273459921
9787,-73.042390631,38.6201861066
9786,-73.0469402533,38.6130268799
9785,-73.0514887264,38.6058683118
9784,-73.0560360505,38.5987104025
9783,-73.0605822258,38.5915531519
9782,-73.0651272526,38.58439656
9781,-73.0696711311,38.5772406268
9780,-73.0742138616,38.5700853522
9779,-73.0787554442,38.5629307364
9778,-73.0832958792,38.5557767792
9777,-73.0878351669,38.5486234807
9776,-73.0923733075,38.5414708408
9775,-73.0969103012,38.5343188596
9774,-73.1014461482,38.527167537
9773,-73.1059808489,38.5200168731
9772,-73.1105144033,38.5128668679
9771,-73.1150468118,38.5057175212
9770,-73.1195780746,38.4985688332
9769,-73.1241081919,38.4914208038
9768,-73.128637164,38.484273433
9767,-73.1331649911,38.4771267209
9766,-73.1376916734,38.4699806673
9765,-73.1422172112,38.4628352723
9764,-73.1467416047,38.455690536
9763,-73.1512648541,38.4485464582
9762,-73.1557869596,38.4414030389
9761,-73.1603079216,38.4342602783
9760,-73.1648277402,38.4271181762
9759,-73.1693464157,38.4199767327
9758,-73.1738639482,38.4128359477
9757,-73.1783803381,38.4056958213
9756,-73.1828955856,38.3985563534
9755,-73.1874096909,38.3914175441
9754,-73.1919226542,38.3842793933
9753,-73.1964344758,38.377141901
9752,-73.2009451559,38.3700050672
9751,-73.2054546948,38.362868892
9750,-73.2099630926,38.3557333752
9749,-73.2144703497,38.348598517
9748,-73.2189764661,38.3414643172
9747,-73.2234814423,38.3343307759
9746,-73.2279852784,38.3271978932
9745,-73.2324879746,38.3200656688
9744,-73.2369895312,38.312934103
9743,-73.2414899484,38.3058031956
9742,-73.2459892264,38.2986729467
9741,-73.2504873656,38.2915433562
9740,-73.254984366,38.2844144242
9739,-73.259480228,38.2772861506
9738,-73.2639749518,38.2701585355
9737,-73.2684685376,38.2630315788
9736,-73.2729609857,38.2559052805
9735,-73.2774522962,38.2487796406
9734,-73.2819424695,38.2416546591
9733,-73.2864315057,38.234530336
9732,-73.2909194051,38.2274066714
9731,-73.2954061679,38.2202836651
9730,-73.2998917943,38.2131613172
9729,-73.3043762847,38.2060396277
9728,-73.3088596391,38.1989185966
9727,-73.3133418579,38.1917982238
9726,-73.3178229413,38.1846785094
9725,-73.3223028895,38.1775594533
9724,-73.3267817028,38.1704410556
